,name,alias,data_collection,enrich_name,enrich_field_name,description,vintage,units
16790,MP28426a_I,2024 Index: Buy Many Units if Food Item on Sale: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28426a_I,PsychographicsFood_MP28426a_I,2024 Buy Many Units if Food Item on Sale: 3-Agree Somewhat: Index,2024,count
16791,MP28427a_B,2024 Buy Many Units if Food Item on Sale: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28427a_B,PsychographicsFood_MP28427a_B,2024 Buy Many Units if Food Item on Sale: 4-Agree Completely,2024,count
16792,MP28427a_I,2024 Index: Buy Many Units if Food Item on Sale: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28427a_I,PsychographicsFood_MP28427a_I,2024 Buy Many Units if Food Item on Sale: 4-Agree Completely: Index,2024,count
16793,MP28428a_B,2024 Celeb Chefs Insp Me to Cook/Bake: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28428a_B,PsychographicsFood_MP28428a_B,2024 Celebrity Chefs Inspire Me to Cook/Bake: 1-Disagree Completely,2024,count
16794,MP28428a_I,2024 Index: Celeb Chefs Insp Me to Cook/Bake: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28428a_I,PsychographicsFood_MP28428a_I,2024 Celebrity Chefs Inspire Me to Cook/Bake: 1-Disagree Completely: Index,2024,count
16795,MP28429a_B,2024 Celeb Chefs Insp Me to Cook/Bake: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28429a_B,PsychographicsFood_MP28429a_B,2024 Celebrity Chefs Inspire Me to Cook/Bake: 2-Disagree Somewhat,2024,count
16796,MP28429a_I,2024 Index: Celeb Chefs Insp Me to Cook/Bake: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28429a_I,PsychographicsFood_MP28429a_I,2024 Celebrity Chefs Inspire Me to Cook/Bake: 2-Disagree Somewhat: Index,2024,count
16797,MP28430a_B,2024 Celeb Chefs Insp Me to Cook/Bake: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28430a_B,PsychographicsFood_MP28430a_B,2024 Celebrity Chefs Inspire Me to Cook/Bake: 3-Agree Somewhat,2024,count
16798,MP28430a_I,2024 Index: Celeb Chefs Insp Me to Cook/Bake: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28430a_I,PsychographicsFood_MP28430a_I,2024 Celebrity Chefs Inspire Me to Cook/Bake: 3-Agree Somewhat: Index,2024,count
16799,MP28431a_B,2024 Celeb Chefs Insp Me to Cook/Bake: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28431a_B,PsychographicsFood_MP28431a_B,2024 Celebrity Chefs Inspire Me to Cook/Bake: 4-Agree Completely,2024,count
16800,MP28431a_I,2024 Index: Celeb Chefs Insp Me to Cook/Bake: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28431a_I,PsychographicsFood_MP28431a_I,2024 Celebrity Chefs Inspire Me to Cook/Bake: 4-Agree Completely: Index,2024,count
16801,MP28076a_B,2024 Check Food Ingredients Before I Buy: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28076a_B,PsychographicsFood_MP28076a_B,2024 Check Food Ingredients Before I Buy: 1-Disagree Completely,2024,count
16802,MP28076a_I,2024 Index: Check Food Ingredients Before I Buy: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28076a_I,PsychographicsFood_MP28076a_I,2024 Check Food Ingredients Before I Buy: 1-Disagree Completely: Index,2024,count
16803,MP28077a_B,2024 Check Food Ingredients Before I Buy: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28077a_B,PsychographicsFood_MP28077a_B,2024 Check Food Ingredients Before I Buy: 2-Disagree Somewhat,2024,count
16804,MP28077a_I,2024 Index: Check Food Ingredients Before I Buy: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28077a_I,PsychographicsFood_MP28077a_I,2024 Check Food Ingredients Before I Buy: 2-Disagree Somewhat: Index,2024,count
16805,MP28078a_B,2024 Check Food Ingredients Before I Buy: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28078a_B,PsychographicsFood_MP28078a_B,2024 Check Food Ingredients Before I Buy: 3-Agree Somewhat,2024,count
16806,MP28078a_I,2024 Index: Check Food Ingredients Before I Buy: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28078a_I,PsychographicsFood_MP28078a_I,2024 Check Food Ingredients Before I Buy: 3-Agree Somewhat: Index,2024,count
16807,MP28079a_B,2024 Check Food Ingredients Before I Buy: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28079a_B,PsychographicsFood_MP28079a_B,2024 Check Food Ingredients Before I Buy: 4-Agree Completely,2024,count
16808,MP28079a_I,2024 Index: Check Food Ingredients Before I Buy: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28079a_I,PsychographicsFood_MP28079a_I,2024 Check Food Ingredients Before I Buy: 4-Agree Completely: Index,2024,count
16809,MP28432a_B,2024 Choose Foods for Nutritional Value: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28432a_B,PsychographicsFood_MP28432a_B,2024 Choose Foods Mostly for Nutritional Value: 1-Disagree Completely,2024,count
16810,MP28432a_I,2024 Index: Choose Foods for Nutritional Value: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28432a_I,PsychographicsFood_MP28432a_I,2024 Choose Foods Mostly for Nutritional Value: 1-Disagree Completely: Index,2024,count
16811,MP28433a_B,2024 Choose Foods for Nutritional Value: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28433a_B,PsychographicsFood_MP28433a_B,2024 Choose Foods Mostly for Nutritional Value: 2-Disagree Somewhat,2024,count
16812,MP28433a_I,2024 Index: Choose Foods for Nutritional Value: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28433a_I,PsychographicsFood_MP28433a_I,2024 Choose Foods Mostly for Nutritional Value: 2-Disagree Somewhat: Index,2024,count
16813,MP28434a_B,2024 Choose Foods for Nutritional Value: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28434a_B,PsychographicsFood_MP28434a_B,2024 Choose Foods Mostly for Nutritional Value: 3-Agree Somewhat,2024,count
16814,MP28434a_I,2024 Index: Choose Foods for Nutritional Value: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28434a_I,PsychographicsFood_MP28434a_I,2024 Choose Foods Mostly for Nutritional Value: 3-Agree Somewhat: Index,2024,count
16815,MP28435a_B,2024 Choose Foods for Nutritional Value: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28435a_B,PsychographicsFood_MP28435a_B,2024 Choose Foods Mostly for Nutritional Value: 4-Agree Completely,2024,count
16816,MP28435a_I,2024 Index: Choose Foods for Nutritional Value: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28435a_I,PsychographicsFood_MP28435a_I,2024 Choose Foods Mostly for Nutritional Value: 4-Agree Completely: Index,2024,count
16817,MP28436a_B,2024 Cook Meals Frequently Each Wk: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28436a_B,PsychographicsFood_MP28436a_B,2024 Cook Meals Frequently Each Week: 1-Disagree Completely,2024,count
16818,MP28436a_I,2024 Index: Cook Meals Frequently Each Wk: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28436a_I,PsychographicsFood_MP28436a_I,2024 Cook Meals Frequently Each Week: 1-Disagree Completely: Index,2024,count
16819,MP28437a_B,2024 Cook Meals Frequently Each Wk: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28437a_B,PsychographicsFood_MP28437a_B,2024 Cook Meals Frequently Each Week: 2-Disagree Somewhat,2024,count
16820,MP28437a_I,2024 Index: Cook Meals Frequently Each Wk: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28437a_I,PsychographicsFood_MP28437a_I,2024 Cook Meals Frequently Each Week: 2-Disagree Somewhat: Index,2024,count
16821,MP28438a_B,2024 Cook Meals Frequently Each Wk: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28438a_B,PsychographicsFood_MP28438a_B,2024 Cook Meals Frequently Each Week: 3-Agree Somewhat,2024,count
16822,MP28438a_I,2024 Index: Cook Meals Frequently Each Wk: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28438a_I,PsychographicsFood_MP28438a_I,2024 Cook Meals Frequently Each Week: 3-Agree Somewhat: Index,2024,count
16823,MP28439a_B,2024 Cook Meals Frequently Each Wk: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28439a_B,PsychographicsFood_MP28439a_B,2024 Cook Meals Frequently Each Week: 4-Agree Completely,2024,count
16824,MP28439a_I,2024 Index: Cook Meals Frequently Each Wk: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28439a_I,PsychographicsFood_MP28439a_I,2024 Cook Meals Frequently Each Week: 4-Agree Completely: Index,2024,count
16825,MP28440a_B,2024 Cook w/Fresh Food vs Can/Froz: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28440a_B,PsychographicsFood_MP28440a_B,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 1-Disagree Completely,2024,count
16826,MP28440a_I,2024 Index: Cook w/Fresh Food vs Can/Froz: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28440a_I,PsychographicsFood_MP28440a_I,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 1-Disagree Completely: Index,2024,count
16827,MP28441a_B,2024 Cook w/Fresh Food vs Can/Froz: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28441a_B,PsychographicsFood_MP28441a_B,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 2-Disagree Somewhat,2024,count
16828,MP28441a_I,2024 Index: Cook w/Fresh Food vs Can/Froz: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28441a_I,PsychographicsFood_MP28441a_I,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 2-Disagree Somewhat: Index,2024,count
16829,MP28442a_B,2024 Cook w/Fresh Food vs Can/Froz: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28442a_B,PsychographicsFood_MP28442a_B,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 3-Agree Somewhat,2024,count
16830,MP28442a_I,2024 Index: Cook w/Fresh Food vs Can/Froz: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28442a_I,PsychographicsFood_MP28442a_I,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 3-Agree Somewhat: Index,2024,count
16831,MP28443a_B,2024 Cook w/Fresh Food vs Can/Froz: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28443a_B,PsychographicsFood_MP28443a_B,2024 Prefer to Cook w/Fresh Food vs Canned/Frozen: 4-Agree Completely,2024,count
89,MAGE4_CY,2024 Males Age 4,1yearincrements,1yearincrements.MAGE4_CY,F1yearincrements_MAGE4_CY,2024 Male Population Age 4 (Esri),2024,count
16833,MP28444a_B,2024 Count Calories of Foods I Eat: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28444a_B,PsychographicsFood_MP28444a_B,2024 Count Calories of Foods I Eat: 1-Disagree Completely,2024,count
16834,MP28444a_I,2024 Index: Count Calories of Foods I Eat: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28444a_I,PsychographicsFood_MP28444a_I,2024 Count Calories of Foods I Eat: 1-Disagree Completely: Index,2024,count
16835,MP28445a_B,2024 Count Calories of Foods I Eat: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28445a_B,PsychographicsFood_MP28445a_B,2024 Count Calories of Foods I Eat: 2-Disagree Somewhat,2024,count
16836,MP28445a_I,2024 Index: Count Calories of Foods I Eat: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28445a_I,PsychographicsFood_MP28445a_I,2024 Count Calories of Foods I Eat: 2-Disagree Somewhat: Index,2024,count
90,MAGE5_CY,2024 Males Age 5,1yearincrements,1yearincrements.MAGE5_CY,F1yearincrements_MAGE5_CY,2024 Male Population Age 5 (Esri),2024,count
16838,MP28446a_I,2024 Index: Count Calories of Foods I Eat: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28446a_I,PsychographicsFood_MP28446a_I,2024 Count Calories of Foods I Eat: 3-Agree Somewhat: Index,2024,count
16839,MP28447a_B,2024 Count Calories of Foods I Eat: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28447a_B,PsychographicsFood_MP28447a_B,2024 Count Calories of Foods I Eat: 4-Agree Completely,2024,count
16840,MP28447a_I,2024 Index: Count Calories of Foods I Eat: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28447a_I,PsychographicsFood_MP28447a_I,2024 Count Calories of Foods I Eat: 4-Agree Completely: Index,2024,count
16841,MP28448a_B,2024 Dinners in My Home Are Planned: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28448a_B,PsychographicsFood_MP28448a_B,2024 Dinners in My Home Are Planned: 1-Disagree Completely,2024,count
16837,MP28446a_B,2024 Count Calories of Foods I Eat: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28446a_B,PsychographicsFood_MP28446a_B,2024 Count Calories of Foods I Eat: 3-Agree Somewhat,2024,count
16843,MP28449a_B,2024 Dinners in My Home Are Planned: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28449a_B,PsychographicsFood_MP28449a_B,2024 Dinners in My Home Are Planned: 2-Disagree Somewhat,2024,count
16844,MP28449a_I,2024 Index: Dinners in My Home Are Planned: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28449a_I,PsychographicsFood_MP28449a_I,2024 Dinners in My Home Are Planned: 2-Disagree Somewhat: Index,2024,count
16845,MP28450a_B,2024 Dinners in My Home Are Planned: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28450a_B,PsychographicsFood_MP28450a_B,2024 Dinners in My Home Are Planned: 3-Agree Somewhat,2024,count
16846,MP28450a_I,2024 Index: Dinners in My Home Are Planned: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28450a_I,PsychographicsFood_MP28450a_I,2024 Dinners in My Home Are Planned: 3-Agree Somewhat: Index,2024,count
16842,MP28448a_I,2024 Index: Dinners in My Home Are Planned: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28448a_I,PsychographicsFood_MP28448a_I,2024 Dinners in My Home Are Planned: 1-Disagree Completely: Index,2024,count
16848,MP28451a_I,2024 Index: Dinners in My Home Are Planned: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28451a_I,PsychographicsFood_MP28451a_I,2024 Dinners in My Home Are Planned: 4-Agree Completely: Index,2024,count
16849,MP28452a_B,2024 Eat Foods from Different Cultures: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28452a_B,PsychographicsFood_MP28452a_B,2024 Like Eating Foods from Different Cultures: 1-Disagree Completely,2024,count
16850,MP28452a_I,2024 Index: Eat Foods from Different Cultures: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28452a_I,PsychographicsFood_MP28452a_I,2024 Like Eating Foods from Different Cultures: 1-Disagree Completely: Index,2024,count
16851,MP28453a_B,2024 Eat Foods from Different Cultures: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28453a_B,PsychographicsFood_MP28453a_B,2024 Like Eating Foods from Different Cultures: 2-Disagree Somewhat,2024,count
16852,MP28453a_I,2024 Index: Eat Foods from Different Cultures: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28453a_I,PsychographicsFood_MP28453a_I,2024 Like Eating Foods from Different Cultures: 2-Disagree Somewhat: Index,2024,count
16853,MP28454a_B,2024 Eat Foods from Different Cultures: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28454a_B,PsychographicsFood_MP28454a_B,2024 Like Eating Foods from Different Cultures: 3-Agree Somewhat,2024,count
16854,MP28454a_I,2024 Index: Eat Foods from Different Cultures: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28454a_I,PsychographicsFood_MP28454a_I,2024 Like Eating Foods from Different Cultures: 3-Agree Somewhat: Index,2024,count
16855,MP28455a_B,2024 Eat Foods from Different Cultures: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28455a_B,PsychographicsFood_MP28455a_B,2024 Like Eating Foods from Different Cultures: 4-Agree Completely,2024,count
16856,MP28455a_I,2024 Index: Eat Foods from Different Cultures: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28455a_I,PsychographicsFood_MP28455a_I,2024 Like Eating Foods from Different Cultures: 4-Agree Completely: Index,2024,count
16857,MP28456a_B,2024 Eat Foods Regardless of Calories: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28456a_B,PsychographicsFood_MP28456a_B,2024 Eat Foods I Like Regardless of Calories: 1-Disagree Completely,2024,count
16858,MP28456a_I,2024 Index: Eat Foods Regardless of Calories: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28456a_I,PsychographicsFood_MP28456a_I,2024 Eat Foods I Like Regardless of Calories: 1-Disagree Completely: Index,2024,count
16859,MP28457a_B,2024 Eat Foods Regardless of Calories: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28457a_B,PsychographicsFood_MP28457a_B,2024 Eat Foods I Like Regardless of Calories: 2-Disagree Somewhat,2024,count
16860,MP28457a_I,2024 Index: Eat Foods Regardless of Calories: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28457a_I,PsychographicsFood_MP28457a_I,2024 Eat Foods I Like Regardless of Calories: 2-Disagree Somewhat: Index,2024,count
16861,MP28458a_B,2024 Eat Foods Regardless of Calories: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28458a_B,PsychographicsFood_MP28458a_B,2024 Eat Foods I Like Regardless of Calories: 3-Agree Somewhat,2024,count
16862,MP28458a_I,2024 Index: Eat Foods Regardless of Calories: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28458a_I,PsychographicsFood_MP28458a_I,2024 Eat Foods I Like Regardless of Calories: 3-Agree Somewhat: Index,2024,count
16863,MP28459a_B,2024 Eat Foods Regardless of Calories: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28459a_B,PsychographicsFood_MP28459a_B,2024 Eat Foods I Like Regardless of Calories: 4-Agree Completely,2024,count
16864,MP28459a_I,2024 Index: Eat Foods Regardless of Calories: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28459a_I,PsychographicsFood_MP28459a_I,2024 Eat Foods I Like Regardless of Calories: 4-Agree Completely: Index,2024,count
16865,MP28460a_B,2024 Eat Gourmet Food When Possible: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28460a_B,PsychographicsFood_MP28460a_B,2024 Eat Gourmet Food Whenever Possible: 1-Disagree Completely,2024,count
16866,MP28460a_I,2024 Index: Eat Gourmet Food When Possible: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28460a_I,PsychographicsFood_MP28460a_I,2024 Eat Gourmet Food Whenever Possible: 1-Disagree Completely: Index,2024,count
16867,MP28461a_B,2024 Eat Gourmet Food When Possible: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28461a_B,PsychographicsFood_MP28461a_B,2024 Eat Gourmet Food Whenever Possible: 2-Disagree Somewhat,2024,count
16868,MP28461a_I,2024 Index: Eat Gourmet Food When Possible: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28461a_I,PsychographicsFood_MP28461a_I,2024 Eat Gourmet Food Whenever Possible: 2-Disagree Somewhat: Index,2024,count
16869,MP28462a_B,2024 Eat Gourmet Food When Possible: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28462a_B,PsychographicsFood_MP28462a_B,2024 Eat Gourmet Food Whenever Possible: 3-Agree Somewhat,2024,count
16870,MP28462a_I,2024 Index: Eat Gourmet Food When Possible: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28462a_I,PsychographicsFood_MP28462a_I,2024 Eat Gourmet Food Whenever Possible: 3-Agree Somewhat: Index,2024,count
16871,MP28463a_B,2024 Eat Gourmet Food When Possible: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28463a_B,PsychographicsFood_MP28463a_B,2024 Eat Gourmet Food Whenever Possible: 4-Agree Completely,2024,count
16872,MP28463a_I,2024 Index: Eat Gourmet Food When Possible: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28463a_I,PsychographicsFood_MP28463a_I,2024 Eat Gourmet Food Whenever Possible: 4-Agree Completely: Index,2024,count
97,MAGE12_CY,2024 Males Age 12,1yearincrements,1yearincrements.MAGE12_CY,F1yearincrements_MAGE12_CY,2024 Male Population Age 12 (Esri),2024,count
16873,MP28464a_B,2024 Eat Many Small Meals Throughout Day: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28464a_B,PsychographicsFood_MP28464a_B,2024 Eat Many Small Meals Throughout the Day: 1-Disagree Completely,2024,count
16874,MP28464a_I,2024 Index: Eat Many Small Meals Throughout Day: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28464a_I,PsychographicsFood_MP28464a_I,2024 Eat Many Small Meals Throughout the Day: 1-Disagree Completely: Index,2024,count
16875,MP28465a_B,2024 Eat Many Small Meals Throughout Day: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28465a_B,PsychographicsFood_MP28465a_B,2024 Eat Many Small Meals Throughout the Day: 2-Disagree Somewhat,2024,count
16876,MP28465a_I,2024 Index: Eat Many Small Meals Throughout Day: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28465a_I,PsychographicsFood_MP28465a_I,2024 Eat Many Small Meals Throughout the Day: 2-Disagree Somewhat: Index,2024,count
16878,MP28466a_I,2024 Index: Eat Many Small Meals Throughout Day: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28466a_I,PsychographicsFood_MP28466a_I,2024 Eat Many Small Meals Throughout the Day: 3-Agree Somewhat: Index,2024,count
16879,MP28467a_B,2024 Eat Many Small Meals Throughout Day: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28467a_B,PsychographicsFood_MP28467a_B,2024 Eat Many Small Meals Throughout the Day: 4-Agree Completely,2024,count
16880,MP28467a_I,2024 Index: Eat Many Small Meals Throughout Day: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28467a_I,PsychographicsFood_MP28467a_I,2024 Eat Many Small Meals Throughout the Day: 4-Agree Completely: Index,2024,count
16881,MP28468a_B,2024 Eat to Be Healthy vs to Lose Weight: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28468a_B,PsychographicsFood_MP28468a_B,2024 Eat to Be Healthy vs to Lose Weight: 1-Disagree Completely,2024,count
16882,MP28468a_I,2024 Index: Eat to Be Healthy vs to Lose Weight: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28468a_I,PsychographicsFood_MP28468a_I,2024 Eat to Be Healthy vs to Lose Weight: 1-Disagree Completely: Index,2024,count
16877,MP28466a_B,2024 Eat Many Small Meals Throughout Day: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28466a_B,PsychographicsFood_MP28466a_B,2024 Eat Many Small Meals Throughout the Day: 3-Agree Somewhat,2024,count
16884,MP28469a_I,2024 Index: Eat to Be Healthy vs to Lose Weight: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28469a_I,PsychographicsFood_MP28469a_I,2024 Eat to Be Healthy vs to Lose Weight: 2-Disagree Somewhat: Index,2024,count
16885,MP28470a_B,2024 Eat to Be Healthy vs to Lose Weight: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28470a_B,PsychographicsFood_MP28470a_B,2024 Eat to Be Healthy vs to Lose Weight: 3-Agree Somewhat,2024,count
16886,MP28470a_I,2024 Index: Eat to Be Healthy vs to Lose Weight: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28470a_I,PsychographicsFood_MP28470a_I,2024 Eat to Be Healthy vs to Lose Weight: 3-Agree Somewhat: Index,2024,count
16887,MP28471a_B,2024 Eat to Be Healthy vs to Lose Weight: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28471a_B,PsychographicsFood_MP28471a_B,2024 Eat to Be Healthy vs to Lose Weight: 4-Agree Completely,2024,count
16883,MP28469a_B,2024 Eat to Be Healthy vs to Lose Weight: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28469a_B,PsychographicsFood_MP28469a_B,2024 Eat to Be Healthy vs to Lose Weight: 2-Disagree Somewhat,2024,count
16889,MP28472a_B,2024 Eating at Fast Food Restrnt is Fun: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28472a_B,PsychographicsFood_MP28472a_B,2024 Eating at Fast Food Restaurants Is Fun: 1-Disagree Completely,2024,count
16890,MP28472a_I,2024 Index: Eating at Fast Food Restrnt is Fun: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28472a_I,PsychographicsFood_MP28472a_I,2024 Eating at Fast Food Restaurants Is Fun: 1-Disagree Completely: Index,2024,count
16891,MP28473a_B,2024 Eating at Fast Food Restrnt is Fun: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28473a_B,PsychographicsFood_MP28473a_B,2024 Eating at Fast Food Restaurants Is Fun: 2-Disagree Somewhat,2024,count
16892,MP28473a_I,2024 Index: Eating at Fast Food Restrnt is Fun: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28473a_I,PsychographicsFood_MP28473a_I,2024 Eating at Fast Food Restaurants Is Fun: 2-Disagree Somewhat: Index,2024,count
16893,MP28474a_B,2024 Eating at Fast Food Restrnt is Fun: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28474a_B,PsychographicsFood_MP28474a_B,2024 Eating at Fast Food Restaurants Is Fun: 3-Agree Somewhat,2024,count
16894,MP28474a_I,2024 Index: Eating at Fast Food Restrnt is Fun: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28474a_I,PsychographicsFood_MP28474a_I,2024 Eating at Fast Food Restaurants Is Fun: 3-Agree Somewhat: Index,2024,count
16895,MP28475a_B,2024 Eating at Fast Food Restrnt is Fun: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28475a_B,PsychographicsFood_MP28475a_B,2024 Eating at Fast Food Restaurants Is Fun: 4-Agree Completely,2024,count
16888,MP28471a_I,2024 Index: Eat to Be Healthy vs to Lose Weight: 4-Agr Cmpl,PsychographicsFood,PsychographicsFood.MP28471a_I,PsychographicsFood_MP28471a_I,2024 Eat to Be Healthy vs to Lose Weight: 4-Agree Completely: Index,2024,count
16897,MP28476a_B,2024 Eating Out is All About Experience: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28476a_B,PsychographicsFood_MP28476a_B,2024 Eating Out Is All About the Experience: 1-Disagree Completely,2024,count
16898,MP28476a_I,2024 Index: Eating Out is All About Experience: 1-Dis Cmpl,PsychographicsFood,PsychographicsFood.MP28476a_I,PsychographicsFood_MP28476a_I,2024 Eating Out Is All About the Experience: 1-Disagree Completely: Index,2024,count
16899,MP28477a_B,2024 Eating Out is All About Experience: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28477a_B,PsychographicsFood_MP28477a_B,2024 Eating Out Is All About the Experience: 2-Disagree Somewhat,2024,count
16900,MP28477a_I,2024 Index: Eating Out is All About Experience: 2-Dis Smwht,PsychographicsFood,PsychographicsFood.MP28477a_I,PsychographicsFood_MP28477a_I,2024 Eating Out Is All About the Experience: 2-Disagree Somewhat: Index,2024,count
16901,MP28478a_B,2024 Eating Out is All About Experience: 3-Agr Smwht,PsychographicsFood,PsychographicsFood.MP28478a_B,PsychographicsFood_MP28478a_B,2024 Eating Out Is All About the Experience: 3-Agree Somewhat,2024,count
